empieza;tipo;tema
-;-;-
Construir una función que, dadas dos matrices, calcule la suma y multiplicación de sus elementos. (Tener en cuenta propiedades de las matrices);recibir dos matrices;condicion-info
Construir una función que, dadas dos matrices, calcule la suma y multiplicación de sus elementos. (Tener en cuenta propiedades de las matrices);calcular la suma de ambas matrices;condicion-info
Construir una función que, dadas dos matrices, calcule la suma y multiplicación de sus elementos. (Tener en cuenta propiedades de las matrices);calcular la multiplicación de ambas matrices;condicion-info
Construir una función que, dadas dos matrices, calcule la suma y multiplicación de sus elementos. (Tener en cuenta propiedades de las matrices);sumar y multiplicar dos matrices dadas;hacer
Construir una función que, dadas dos matrices, calcule la suma y multiplicación de sus elementos. (Tener en cuenta propiedades de las matrices);dos matrices ;entrada
Construir una función que, dadas dos matrices, calcule la suma y multiplicación de sus elementos. (Tener en cuenta propiedades de las matrices);matriz producto de la multiplicación;salida
Construir una función que, dadas dos matrices, calcule la suma y multiplicación de sus elementos. (Tener en cuenta propiedades de las matrices);matriz producto de la suma ;salida
Construir una función que, dadas dos matrices, calcule la suma y multiplicación de sus elementos. (Tener en cuenta propiedades de las matrices);recibir por teclado los datos de dos matrices;pseudocodigo
Construir una función que, dadas dos matrices, calcule la suma y multiplicación de sus elementos. (Tener en cuenta propiedades de las matrices);llamar la función para la uma de dos matrices;pseudocodigo
Construir una función que, dadas dos matrices, calcule la suma y multiplicación de sus elementos. (Tener en cuenta propiedades de las matrices);llamar la función para la multiplicación de dos matrices;pseudocodigo
Construir una función que, dadas dos matrices, calcule la suma y multiplicación de sus elementos. (Tener en cuenta propiedades de las matrices);motrar en pantalla las dos matrices producto de ambas funciones;pseudocodigo
-;-;-
Construir una función en donde dada una matriz, calcule su matriz transformada. (Tener en cuenta las propiedades de las matrices);recibir una matriz;condicion-info
Construir una función en donde dada una matriz, calcule su matriz transformada. (Tener en cuenta las propiedades de las matrices);calcular la transformada de dicha matriz;condicion-info
Construir una función en donde dada una matriz, calcule su matriz transformada. (Tener en cuenta las propiedades de las matrices);desarrollar un programa que reciba una matriz y calcule su transformada;hacer
Construir una función en donde dada una matriz, calcule su matriz transformada. (Tener en cuenta las propiedades de las matrices);una matriz de números;entrada
Construir una función en donde dada una matriz, calcule su matriz transformada. (Tener en cuenta las propiedades de las matrices);matriz transformada ;salida
Construir una función en donde dada una matriz, calcule su matriz transformada. (Tener en cuenta las propiedades de las matrices);recibir por teclado una matriz;pseudocodigo
Construir una función en donde dada una matriz, calcule su matriz transformada. (Tener en cuenta las propiedades de las matrices);llamar la función que calcula la transformada de la matriz recibida;pseudocodigo
Construir una función en donde dada una matriz, calcule su matriz transformada. (Tener en cuenta las propiedades de las matrices);mostrar en pantalla la matriz transformada;pseudocodigo
-;-;-
Construir un programa que pueda recrear el juego Tic-tac-toe. Serán dos jugadores posibles y gana quien alcance a completar 3 casillas en línea o diagonal, por ejemplo.;recrear el juego tic-tac-toe;condicion-info
Construir un programa que pueda recrear el juego Tic-tac-toe. Serán dos jugadores posibles y gana quien alcance a completar 3 casillas en línea o diagonal, por ejemplo.;posibilidad para dos jugadores;condicion-info
Construir un programa que pueda recrear el juego Tic-tac-toe. Serán dos jugadores posibles y gana quien alcance a completar 3 casillas en línea o diagonal, por ejemplo.;gana quien alcance 3 casillas en linea o diagonal;condicion-info
Construir un programa que pueda recrear el juego Tic-tac-toe. Serán dos jugadores posibles y gana quien alcance a completar 3 casillas en línea o diagonal, por ejemplo.;recrear el juego tic-tac-toe para dos jugadores;hacer
Construir un programa que pueda recrear el juego Tic-tac-toe. Serán dos jugadores posibles y gana quien alcance a completar 3 casillas en línea o diagonal, por ejemplo.;nombre de dos jugadores;entrada
Construir un programa que pueda recrear el juego Tic-tac-toe. Serán dos jugadores posibles y gana quien alcance a completar 3 casillas en línea o diagonal, por ejemplo.;nombre ganador;salida
Construir un programa que pueda recrear el juego Tic-tac-toe. Serán dos jugadores posibles y gana quien alcance a completar 3 casillas en línea o diagonal, por ejemplo.;recibir en dos strings el nombre de cada jugador;pseudocodigo
Construir un programa que pueda recrear el juego Tic-tac-toe. Serán dos jugadores posibles y gana quien alcance a completar 3 casillas en línea o diagonal, por ejemplo.;utilizar una función que modifique continuamente la matriz del juego a medida que el juego avanza;pseudocodigo
Construir un programa que pueda recrear el juego Tic-tac-toe. Serán dos jugadores posibles y gana quien alcance a completar 3 casillas en línea o diagonal, por ejemplo.;a la par ir, verificando que aún no haya un ganador.;pseudocodigo
Construir un programa que pueda recrear el juego Tic-tac-toe. Serán dos jugadores posibles y gana quien alcance a completar 3 casillas en línea o diagonal, por ejemplo.;mostrar en pantalla en el momento en el que haya un ganador o se terminen los movimientos;pseudocodigo
-;-;-
Un cliente ordena una cierta cantidad de brochas de cerda, rodillos y sellador. Las brochas de cerda tienen un 20% de descuento y los rodillos un 15% de descuento. Los datos que se tienen por cada tipo de articulo son: La cantidad pedida y el precio unitario. Además, si se paga de contado todo tiene un descuento de 7%. Elaborar un programa que permita visulizar el precio total de una cierta orden de n cantidad de productos, tanto para pago de contado como pago a crédito.;las brochas de cerda tienen un 20% de descuento;condicion-info
Un cliente ordena una cierta cantidad de brochas de cerda, rodillos y sellador. Las brochas de cerda tienen un 20% de descuento y los rodillos un 15% de descuento. Los datos que se tienen por cada tipo de articulo son: La cantidad pedida y el precio unitario. Además, si se paga de contado todo tiene un descuento de 7%. Elaborar un programa que permita visulizar el precio total de una cierta orden de n cantidad de productos, tanto para pago de contado como pago a crédito.;los rodillos tienen un 15% de descuento;condicion-info
Un cliente ordena una cierta cantidad de brochas de cerda, rodillos y sellador. Las brochas de cerda tienen un 20% de descuento y los rodillos un 15% de descuento. Los datos que se tienen por cada tipo de articulo son: La cantidad pedida y el precio unitario. Además, si se paga de contado todo tiene un descuento de 7%. Elaborar un programa que permita visulizar el precio total de una cierta orden de n cantidad de productos, tanto para pago de contado como pago a crédito.;cantidad pedida del articulo;condicion-info
Un cliente ordena una cierta cantidad de brochas de cerda, rodillos y sellador. Las brochas de cerda tienen un 20% de descuento y los rodillos un 15% de descuento. Los datos que se tienen por cada tipo de articulo son: La cantidad pedida y el precio unitario. Además, si se paga de contado todo tiene un descuento de 7%. Elaborar un programa que permita visulizar el precio total de una cierta orden de n cantidad de productos, tanto para pago de contado como pago a crédito.;precio unitario del articulo;condicion-info
Un cliente ordena una cierta cantidad de brochas de cerda, rodillos y sellador. Las brochas de cerda tienen un 20% de descuento y los rodillos un 15% de descuento. Los datos que se tienen por cada tipo de articulo son: La cantidad pedida y el precio unitario. Además, si se paga de contado todo tiene un descuento de 7%. Elaborar un programa que permita visulizar el precio total de una cierta orden de n cantidad de productos, tanto para pago de contado como pago a crédito.;el pago de contado tiene 7% de descuento sobre el total;condicion-info
Un cliente ordena una cierta cantidad de brochas de cerda, rodillos y sellador. Las brochas de cerda tienen un 20% de descuento y los rodillos un 15% de descuento. Los datos que se tienen por cada tipo de articulo son: La cantidad pedida y el precio unitario. Además, si se paga de contado todo tiene un descuento de 7%. Elaborar un programa que permita visulizar el precio total de una cierta orden de n cantidad de productos, tanto para pago de contado como pago a crédito.;recibir la cantidad n de productos y visualizar el precio total tanto para pago de contado como pago a crédito;condicion-info
Un cliente ordena una cierta cantidad de brochas de cerda, rodillos y sellador. Las brochas de cerda tienen un 20% de descuento y los rodillos un 15% de descuento. Los datos que se tienen por cada tipo de articulo son: La cantidad pedida y el precio unitario. Además, si se paga de contado todo tiene un descuento de 7%. Elaborar un programa que permita visulizar el precio total de una cierta orden de n cantidad de productos, tanto para pago de contado como pago a crédito.;recibir una cantidad n de productos y mostrar en pantalla su precio por pago de contado y a crédito;hacer
Un cliente ordena una cierta cantidad de brochas de cerda, rodillos y sellador. Las brochas de cerda tienen un 20% de descuento y los rodillos un 15% de descuento. Los datos que se tienen por cada tipo de articulo son: La cantidad pedida y el precio unitario. Además, si se paga de contado todo tiene un descuento de 7%. Elaborar un programa que permita visulizar el precio total de una cierta orden de n cantidad de productos, tanto para pago de contado como pago a crédito.;cantidad y tipo de productos;entrada
Un cliente ordena una cierta cantidad de brochas de cerda, rodillos y sellador. Las brochas de cerda tienen un 20% de descuento y los rodillos un 15% de descuento. Los datos que se tienen por cada tipo de articulo son: La cantidad pedida y el precio unitario. Además, si se paga de contado todo tiene un descuento de 7%. Elaborar un programa que permita visulizar el precio total de una cierta orden de n cantidad de productos, tanto para pago de contado como pago a crédito.;precio por pago a contado;salida
Un cliente ordena una cierta cantidad de brochas de cerda, rodillos y sellador. Las brochas de cerda tienen un 20% de descuento y los rodillos un 15% de descuento. Los datos que se tienen por cada tipo de articulo son: La cantidad pedida y el precio unitario. Además, si se paga de contado todo tiene un descuento de 7%. Elaborar un programa que permita visulizar el precio total de una cierta orden de n cantidad de productos, tanto para pago de contado como pago a crédito.;precio por pago a crédito;salida
Un cliente ordena una cierta cantidad de brochas de cerda, rodillos y sellador. Las brochas de cerda tienen un 20% de descuento y los rodillos un 15% de descuento. Los datos que se tienen por cada tipo de articulo son: La cantidad pedida y el precio unitario. Además, si se paga de contado todo tiene un descuento de 7%. Elaborar un programa que permita visulizar el precio total de una cierta orden de n cantidad de productos, tanto para pago de contado como pago a crédito.;recibir por teclado la cantiad según el tipo de producto;pseudocodigo
Un cliente ordena una cierta cantidad de brochas de cerda, rodillos y sellador. Las brochas de cerda tienen un 20% de descuento y los rodillos un 15% de descuento. Los datos que se tienen por cada tipo de articulo son: La cantidad pedida y el precio unitario. Además, si se paga de contado todo tiene un descuento de 7%. Elaborar un programa que permita visulizar el precio total de una cierta orden de n cantidad de productos, tanto para pago de contado como pago a crédito.;llamar la función para calcular el descuento según tipo el producto ;pseudocodigo
Un cliente ordena una cierta cantidad de brochas de cerda, rodillos y sellador. Las brochas de cerda tienen un 20% de descuento y los rodillos un 15% de descuento. Los datos que se tienen por cada tipo de articulo son: La cantidad pedida y el precio unitario. Además, si se paga de contado todo tiene un descuento de 7%. Elaborar un programa que permita visulizar el precio total de una cierta orden de n cantidad de productos, tanto para pago de contado como pago a crédito.;aplicar al total el descuento por pago a contado;pseudocodigo
Un cliente ordena una cierta cantidad de brochas de cerda, rodillos y sellador. Las brochas de cerda tienen un 20% de descuento y los rodillos un 15% de descuento. Los datos que se tienen por cada tipo de articulo son: La cantidad pedida y el precio unitario. Además, si se paga de contado todo tiene un descuento de 7%. Elaborar un programa que permita visulizar el precio total de una cierta orden de n cantidad de productos, tanto para pago de contado como pago a crédito.;mostrar en pantalla el precio por pago a contado y a crédito;pseudocodigo
-;-;-
Realice un programa que calcule el sueldo que le corresponde al trabajador de una empresa que paga 60.000 dólares anuales. El programa debe realizar los cálculos en función de los siguientes criterios. A) Si lleva más de 10 años en la empresa se le aplica un aumento del 10%. B) Si lleva menos de 10 años, pero más que 5 e le aplica un aumento del 7%. C) Si lleva menos de 5 años, pero más que 3 se le aplica un aumento del 5%. D) Si lleva menos de 3 año se le aplica un aumento del 3%.;el salario base es de 60.000 dolares anuales;condicion-info
Realice un programa que calcule el sueldo que le corresponde al trabajador de una empresa que paga 60.000 dólares anuales. El programa debe realizar los cálculos en función de los siguientes criterios. A) Si lleva más de 10 años en la empresa se le aplica un aumento del 10%. B) Si lleva menos de 10 años, pero más que 5 e le aplica un aumento del 7%. C) Si lleva menos de 5 años, pero más que 3 se le aplica un aumento del 5%. D) Si lleva menos de 3 año se le aplica un aumento del 3%.;si lleva más de 10 años se le realiza un aumento de 10%;condicion-info
Realice un programa que calcule el sueldo que le corresponde al trabajador de una empresa que paga 60.000 dólares anuales. El programa debe realizar los cálculos en función de los siguientes criterios. A) Si lleva más de 10 años en la empresa se le aplica un aumento del 10%. B) Si lleva menos de 10 años, pero más que 5 e le aplica un aumento del 7%. C) Si lleva menos de 5 años, pero más que 3 se le aplica un aumento del 5%. D) Si lleva menos de 3 año se le aplica un aumento del 3%.;si lleva menos de 10 años pero más de 5 se le realiza un aumento del 7%;condicion-info
Realice un programa que calcule el sueldo que le corresponde al trabajador de una empresa que paga 60.000 dólares anuales. El programa debe realizar los cálculos en función de los siguientes criterios. A) Si lleva más de 10 años en la empresa se le aplica un aumento del 10%. B) Si lleva menos de 10 años, pero más que 5 e le aplica un aumento del 7%. C) Si lleva menos de 5 años, pero más que 3 se le aplica un aumento del 5%. D) Si lleva menos de 3 año se le aplica un aumento del 3%.;si lleva menos de 5 años pero más de 3 e le realiza un aumento del 5%;condicion-info
Realice un programa que calcule el sueldo que le corresponde al trabajador de una empresa que paga 60.000 dólares anuales. El programa debe realizar los cálculos en función de los siguientes criterios. A) Si lleva más de 10 años en la empresa se le aplica un aumento del 10%. B) Si lleva menos de 10 años, pero más que 5 e le aplica un aumento del 7%. C) Si lleva menos de 5 años, pero más que 3 se le aplica un aumento del 5%. D) Si lleva menos de 3 año se le aplica un aumento del 3%.;si lleva menos de 3 años se le aplica un aumento del 35;condicion-info
Realice un programa que calcule el sueldo que le corresponde al trabajador de una empresa que paga 60.000 dólares anuales. El programa debe realizar los cálculos en función de los siguientes criterios. A) Si lleva más de 10 años en la empresa se le aplica un aumento del 10%. B) Si lleva menos de 10 años, pero más que 5 e le aplica un aumento del 7%. C) Si lleva menos de 5 años, pero más que 3 se le aplica un aumento del 5%. D) Si lleva menos de 3 año se le aplica un aumento del 3%.;calcular el nuevo salario del trabajador con el aumento incluido;hacer
Realice un programa que calcule el sueldo que le corresponde al trabajador de una empresa que paga 60.000 dólares anuales. El programa debe realizar los cálculos en función de los siguientes criterios. A) Si lleva más de 10 años en la empresa se le aplica un aumento del 10%. B) Si lleva menos de 10 años, pero más que 5 e le aplica un aumento del 7%. C) Si lleva menos de 5 años, pero más que 3 se le aplica un aumento del 5%. D) Si lleva menos de 3 año se le aplica un aumento del 3%.;número entero con la antigüedad en años del trabajador;entrada
Realice un programa que calcule el sueldo que le corresponde al trabajador de una empresa que paga 60.000 dólares anuales. El programa debe realizar los cálculos en función de los siguientes criterios. A) Si lleva más de 10 años en la empresa se le aplica un aumento del 10%. B) Si lleva menos de 10 años, pero más que 5 e le aplica un aumento del 7%. C) Si lleva menos de 5 años, pero más que 3 se le aplica un aumento del 5%. D) Si lleva menos de 3 año se le aplica un aumento del 3%.;valor del sueldo con el aumento ;salida
Realice un programa que calcule el sueldo que le corresponde al trabajador de una empresa que paga 60.000 dólares anuales. El programa debe realizar los cálculos en función de los siguientes criterios. A) Si lleva más de 10 años en la empresa se le aplica un aumento del 10%. B) Si lleva menos de 10 años, pero más que 5 e le aplica un aumento del 7%. C) Si lleva menos de 5 años, pero más que 3 se le aplica un aumento del 5%. D) Si lleva menos de 3 año se le aplica un aumento del 3%.;recibir por teclado la antigüedad en años del trabajador;pseudocodigo
Realice un programa que calcule el sueldo que le corresponde al trabajador de una empresa que paga 60.000 dólares anuales. El programa debe realizar los cálculos en función de los siguientes criterios. A) Si lleva más de 10 años en la empresa se le aplica un aumento del 10%. B) Si lleva menos de 10 años, pero más que 5 e le aplica un aumento del 7%. C) Si lleva menos de 5 años, pero más que 3 se le aplica un aumento del 5%. D) Si lleva menos de 3 año se le aplica un aumento del 3%.;con ifs anidados verificar cual es el aumento que le corrresponde al trabajador;pseudocodigo
Realice un programa que calcule el sueldo que le corresponde al trabajador de una empresa que paga 60.000 dólares anuales. El programa debe realizar los cálculos en función de los siguientes criterios. A) Si lleva más de 10 años en la empresa se le aplica un aumento del 10%. B) Si lleva menos de 10 años, pero más que 5 e le aplica un aumento del 7%. C) Si lleva menos de 5 años, pero más que 3 se le aplica un aumento del 5%. D) Si lleva menos de 3 año se le aplica un aumento del 3%.;mostrar en pantalla el nuevo suelto;pseudocodigo
-;-;-
En la tienda MercaFacil, el impuesto pagado por la compra de articulos se calcula de la siguiente manera: A) Los primeros $30.000 pesos no cobran impuesto. B) Los siguientes $30.000 pesos tienen un 30% más de impuesto y el resto un 40% más de impuesto. C) Si el costo de la venta total es mayor a $85.000 pesos, entonces solo se cobra el 50% sobre el total de la venta. Generar un programa que, ingresando el valor total de la compra, permita calcular el resultado total de la venta luego de aplicar impuestos.;menos de $30.000 pesos no paga impuesto;condicion-info
En la tienda MercaFacil, el impuesto pagado por la compra de articulos se calcula de la siguiente manera: A) Los primeros $30.000 pesos no cobran impuesto. B) Los siguientes $30.000 pesos tienen un 30% más de impuesto y el resto un 40% más de impuesto. C) Si el costo de la venta total es mayor a $85.000 pesos, entonces solo se cobra el 50% sobre el total de la venta. Generar un programa que, ingresando el valor total de la compra, permita calcular el resultado total de la venta luego de aplicar impuestos.;si la compra son más de $30.000, se agrega un 30% de impuesto sobre los primeros y un 40% sobre el valor de la cuenta;condicion-info
En la tienda MercaFacil, el impuesto pagado por la compra de articulos se calcula de la siguiente manera: A) Los primeros $30.000 pesos no cobran impuesto. B) Los siguientes $30.000 pesos tienen un 30% más de impuesto y el resto un 40% más de impuesto. C) Si el costo de la venta total es mayor a $85.000 pesos, entonces solo se cobra el 50% sobre el total de la venta. Generar un programa que, ingresando el valor total de la compra, permita calcular el resultado total de la venta luego de aplicar impuestos.;si el costo total de la venta es superior a $85.000 pesos, entonces solo se aplica el 50% de impuesto sobre el valor global;condicion-info
En la tienda MercaFacil, el impuesto pagado por la compra de articulos se calcula de la siguiente manera: A) Los primeros $30.000 pesos no cobran impuesto. B) Los siguientes $30.000 pesos tienen un 30% más de impuesto y el resto un 40% más de impuesto. C) Si el costo de la venta total es mayor a $85.000 pesos, entonces solo se cobra el 50% sobre el total de la venta. Generar un programa que, ingresando el valor total de la compra, permita calcular el resultado total de la venta luego de aplicar impuestos.;ingresar el valor total de la compra;condicion-info
En la tienda MercaFacil, el impuesto pagado por la compra de articulos se calcula de la siguiente manera: A) Los primeros $30.000 pesos no cobran impuesto. B) Los siguientes $30.000 pesos tienen un 30% más de impuesto y el resto un 40% más de impuesto. C) Si el costo de la venta total es mayor a $85.000 pesos, entonces solo se cobra el 50% sobre el total de la venta. Generar un programa que, ingresando el valor total de la compra, permita calcular el resultado total de la venta luego de aplicar impuestos.;calcular el resultado total de la venda despues de aplicar el impuesto;condicion-info
En la tienda MercaFacil, el impuesto pagado por la compra de articulos se calcula de la siguiente manera: A) Los primeros $30.000 pesos no cobran impuesto. B) Los siguientes $30.000 pesos tienen un 30% más de impuesto y el resto un 40% más de impuesto. C) Si el costo de la venta total es mayor a $85.000 pesos, entonces solo se cobra el 50% sobre el total de la venta. Generar un programa que, ingresando el valor total de la compra, permita calcular el resultado total de la venta luego de aplicar impuestos.;realizar un programa que genere un nuevo total de venta con el impuesto incluido;hacer
En la tienda MercaFacil, el impuesto pagado por la compra de articulos se calcula de la siguiente manera: A) Los primeros $30.000 pesos no cobran impuesto. B) Los siguientes $30.000 pesos tienen un 30% más de impuesto y el resto un 40% más de impuesto. C) Si el costo de la venta total es mayor a $85.000 pesos, entonces solo se cobra el 50% sobre el total de la venta. Generar un programa que, ingresando el valor total de la compra, permita calcular el resultado total de la venta luego de aplicar impuestos.;número con el valor total de la compra;entrada
En la tienda MercaFacil, el impuesto pagado por la compra de articulos se calcula de la siguiente manera: A) Los primeros $30.000 pesos no cobran impuesto. B) Los siguientes $30.000 pesos tienen un 30% más de impuesto y el resto un 40% más de impuesto. C) Si el costo de la venta total es mayor a $85.000 pesos, entonces solo se cobra el 50% sobre el total de la venta. Generar un programa que, ingresando el valor total de la compra, permita calcular el resultado total de la venta luego de aplicar impuestos.;número con el valor total de la compra con el impuesto incluido;salida
En la tienda MercaFacil, el impuesto pagado por la compra de articulos se calcula de la siguiente manera: A) Los primeros $30.000 pesos no cobran impuesto. B) Los siguientes $30.000 pesos tienen un 30% más de impuesto y el resto un 40% más de impuesto. C) Si el costo de la venta total es mayor a $85.000 pesos, entonces solo se cobra el 50% sobre el total de la venta. Generar un programa que, ingresando el valor total de la compra, permita calcular el resultado total de la venta luego de aplicar impuestos.;recibir por teclado el número con el total de la venta;pseudocodigo
En la tienda MercaFacil, el impuesto pagado por la compra de articulos se calcula de la siguiente manera: A) Los primeros $30.000 pesos no cobran impuesto. B) Los siguientes $30.000 pesos tienen un 30% más de impuesto y el resto un 40% más de impuesto. C) Si el costo de la venta total es mayor a $85.000 pesos, entonces solo se cobra el 50% sobre el total de la venta. Generar un programa que, ingresando el valor total de la compra, permita calcular el resultado total de la venta luego de aplicar impuestos.;llamar la función conformada por varios ifs anidados para aplicar el valor del impuesto;pseudocodigo
En la tienda MercaFacil, el impuesto pagado por la compra de articulos se calcula de la siguiente manera: A) Los primeros $30.000 pesos no cobran impuesto. B) Los siguientes $30.000 pesos tienen un 30% más de impuesto y el resto un 40% más de impuesto. C) Si el costo de la venta total es mayor a $85.000 pesos, entonces solo se cobra el 50% sobre el total de la venta. Generar un programa que, ingresando el valor total de la compra, permita calcular el resultado total de la venta luego de aplicar impuestos.;mostrar en pantalla el nuevo valor total de venta;pseudocodigo
-;-;-
El jefe del departamento de construcción de la constructora FERIESPACIOS desea desarrollar un programa para sus empleados que calcule el sueldo total para cada uno según el número de horas trabajadas. Para ello se tienen en cuenta los siguientes criterios: A) Si las horas exceden las 50 horas trabajadas el excendente se paga al triple del valor de la hora y se les descontará un impuesto del 12% del total del sueldo ganado. Realizar un programa que, pidiendo el nombre del trabajador y el número de horas trabajadas muestre en pantalla el nombre del trabajador y el cálculo del sueldo total ganado. Parta del hecho que la hora trabajada tienen un valor de $8.500 pesos.;nombre del trabajador;condicion-info
El jefe del departamento de construcción de la constructora FERIESPACIOS desea desarrollar un programa para sus empleados que calcule el sueldo total para cada uno según el número de horas trabajadas. Para ello se tienen en cuenta los siguientes criterios: A) Si las horas exceden las 50 horas trabajadas el excendente se paga al triple del valor de la hora y se les descontará un impuesto del 12% del total del sueldo ganado. Realizar un programa que, pidiendo el nombre del trabajador y el número de horas trabajadas muestre en pantalla el nombre del trabajador y el cálculo del sueldo total ganado. Parta del hecho que la hora trabajada tienen un valor de $8.500 pesos.;número de horas trabajadas;condicion-info
El jefe del departamento de construcción de la constructora FERIESPACIOS desea desarrollar un programa para sus empleados que calcule el sueldo total para cada uno según el número de horas trabajadas. Para ello se tienen en cuenta los siguientes criterios: A) Si las horas exceden las 50 horas trabajadas el excendente se paga al triple del valor de la hora y se les descontará un impuesto del 12% del total del sueldo ganado. Realizar un programa que, pidiendo el nombre del trabajador y el número de horas trabajadas muestre en pantalla el nombre del trabajador y el cálculo del sueldo total ganado. Parta del hecho que la hora trabajada tienen un valor de $8.500 pesos.;mostrar el calculo del sueldo ganado;condicion-info
El jefe del departamento de construcción de la constructora FERIESPACIOS desea desarrollar un programa para sus empleados que calcule el sueldo total para cada uno según el número de horas trabajadas. Para ello se tienen en cuenta los siguientes criterios: A) Si las horas exceden las 50 horas trabajadas el excendente se paga al triple del valor de la hora y se les descontará un impuesto del 12% del total del sueldo ganado. Realizar un programa que, pidiendo el nombre del trabajador y el número de horas trabajadas muestre en pantalla el nombre del trabajador y el cálculo del sueldo total ganado. Parta del hecho que la hora trabajada tienen un valor de $8.500 pesos.;hora trabajada por valor de $8.500 pesos;condicion-info
El jefe del departamento de construcción de la constructora FERIESPACIOS desea desarrollar un programa para sus empleados que calcule el sueldo total para cada uno según el número de horas trabajadas. Para ello se tienen en cuenta los siguientes criterios: A) Si las horas exceden las 50 horas trabajadas el excendente se paga al triple del valor de la hora y se les descontará un impuesto del 12% del total del sueldo ganado. Realizar un programa que, pidiendo el nombre del trabajador y el número de horas trabajadas muestre en pantalla el nombre del trabajador y el cálculo del sueldo total ganado. Parta del hecho que la hora trabajada tienen un valor de $8.500 pesos.;si el número de horas trabajadas es menor o igual a 40, se paga la hora a valor normal;condicion-info
El jefe del departamento de construcción de la constructora FERIESPACIOS desea desarrollar un programa para sus empleados que calcule el sueldo total para cada uno según el número de horas trabajadas. Para ello se tienen en cuenta los siguientes criterios: A) Si las horas exceden las 50 horas trabajadas el excendente se paga al triple del valor de la hora y se les descontará un impuesto del 12% del total del sueldo ganado. Realizar un programa que, pidiendo el nombre del trabajador y el número de horas trabajadas muestre en pantalla el nombre del trabajador y el cálculo del sueldo total ganado. Parta del hecho que la hora trabajada tienen un valor de $8.500 pesos.;si el número de horas es mayor a 40 y menor a 50, el excedente de horas se paga al doble.;condicion-info
El jefe del departamento de construcción de la constructora FERIESPACIOS desea desarrollar un programa para sus empleados que calcule el sueldo total para cada uno según el número de horas trabajadas. Para ello se tienen en cuenta los siguientes criterios: A) Si las horas exceden las 50 horas trabajadas el excendente se paga al triple del valor de la hora y se les descontará un impuesto del 12% del total del sueldo ganado. Realizar un programa que, pidiendo el nombre del trabajador y el número de horas trabajadas muestre en pantalla el nombre del trabajador y el cálculo del sueldo total ganado. Parta del hecho que la hora trabajada tienen un valor de $8.500 pesos.;si el número de horas es mayor a 50, el excedente se paga al triple del valor de hora.;condicion-info
El jefe del departamento de construcción de la constructora FERIESPACIOS desea desarrollar un programa para sus empleados que calcule el sueldo total para cada uno según el número de horas trabajadas. Para ello se tienen en cuenta los siguientes criterios: A) Si las horas exceden las 50 horas trabajadas el excendente se paga al triple del valor de la hora y se les descontará un impuesto del 12% del total del sueldo ganado. Realizar un programa que, pidiendo el nombre del trabajador y el número de horas trabajadas muestre en pantalla el nombre del trabajador y el cálculo del sueldo total ganado. Parta del hecho que la hora trabajada tienen un valor de $8.500 pesos.;si el número de horas es mayor a 50, se descuenta un impuesto del 12% al sueldo total ganado.;condicion-info
El jefe del departamento de construcción de la constructora FERIESPACIOS desea desarrollar un programa para sus empleados que calcule el sueldo total para cada uno según el número de horas trabajadas. Para ello se tienen en cuenta los siguientes criterios: A) Si las horas exceden las 50 horas trabajadas el excendente se paga al triple del valor de la hora y se les descontará un impuesto del 12% del total del sueldo ganado. Realizar un programa que, pidiendo el nombre del trabajador y el número de horas trabajadas muestre en pantalla el nombre del trabajador y el cálculo del sueldo total ganado. Parta del hecho que la hora trabajada tienen un valor de $8.500 pesos.;desarrolar un programa que calcule el sueldo del trabajador según el número de horas trabajadas. Imprimir su nombre y el valor de su sueldo.;hacer
El jefe del departamento de construcción de la constructora FERIESPACIOS desea desarrollar un programa para sus empleados que calcule el sueldo total para cada uno según el número de horas trabajadas. Para ello se tienen en cuenta los siguientes criterios: A) Si las horas exceden las 50 horas trabajadas el excendente se paga al triple del valor de la hora y se les descontará un impuesto del 12% del total del sueldo ganado. Realizar un programa que, pidiendo el nombre del trabajador y el número de horas trabajadas muestre en pantalla el nombre del trabajador y el cálculo del sueldo total ganado. Parta del hecho que la hora trabajada tienen un valor de $8.500 pesos.;string con el nombre del trabajador;entrada
El jefe del departamento de construcción de la constructora FERIESPACIOS desea desarrollar un programa para sus empleados que calcule el sueldo total para cada uno según el número de horas trabajadas. Para ello se tienen en cuenta los siguientes criterios: A) Si las horas exceden las 50 horas trabajadas el excendente se paga al triple del valor de la hora y se les descontará un impuesto del 12% del total del sueldo ganado. Realizar un programa que, pidiendo el nombre del trabajador y el número de horas trabajadas muestre en pantalla el nombre del trabajador y el cálculo del sueldo total ganado. Parta del hecho que la hora trabajada tienen un valor de $8.500 pesos.;número entero con la cantidad de horas trabajadas;entrada
El jefe del departamento de construcción de la constructora FERIESPACIOS desea desarrollar un programa para sus empleados que calcule el sueldo total para cada uno según el número de horas trabajadas. Para ello se tienen en cuenta los siguientes criterios: A) Si las horas exceden las 50 horas trabajadas el excendente se paga al triple del valor de la hora y se les descontará un impuesto del 12% del total del sueldo ganado. Realizar un programa que, pidiendo el nombre del trabajador y el número de horas trabajadas muestre en pantalla el nombre del trabajador y el cálculo del sueldo total ganado. Parta del hecho que la hora trabajada tienen un valor de $8.500 pesos.;número con el sueldo del trabajador;salida
